iteration value
00000 -42.1442
00050 -4.51749
00100 -4.50911
00150 -4.4367
00200 -4.44574
00250 -4.39919
00300 -4.39469
00350 -4.27695
00400 -4.16946
00450 -4.09765
00500 -4.0424
00550 -4.00889
00600 -4.01214
00650 -3.95222
00700 -3.92392
00750 -3.888
00800 -3.83997
00850 -3.82846
00900 -3.83593
00950 -3.82284
01000 -3.82559
01050 -3.79345
01100 -3.79376
01150 -3.79147
01200 -3.80272
01250 -3.82111
01300 -3.77662
01350 -3.73185
01400 -3.70355
01450 -3.66078
01500 -3.63386
01550 -3.59525
01600 -3.59927
01650 -3.56429
01700 -3.57817
01750 -3.5428
01800 -3.59391
01850 -3.55839
01900 -3.55792
01950 -3.56184
02000 -3.56685
02050 -3.53389
02100 -3.47697
02150 -3.52276
02200 -3.56559
02250 -3.54921
02300 -3.51722
02350 -3.53849
02400 -3.54305
02450 -3.54349
02500 -3.50743
02550 -3.43984
02600 -3.48563
02650 -3.41898
02700 -3.43725
02750 -3.45875
02800 -3.4568
02850 -3.47166
02900 -3.44676
02950 -3.43715
03000 -3.41381
03050 -3.46881
03100 -3.41334
03150 -3.42639
03200 -3.40112
03250 -3.42629
03300 -3.42419
03350 -3.41344
03400 -3.45234
03450 -3.44835
03500 -3.46473
03550 -3.44238
03600 -3.42691
03650 -3.44749
03700 -3.43663
03750 -3.44578
03800 -3.42802
03850 -3.39875
03900 -3.41602
03950 -3.45354
04000 -3.47781
04050 -3.40662
04100 -3.39703
04150 -3.41766
04200 -3.4213
04250 -3.42279
04300 -3.44
04350 -3.42992
04400 -3.40827
04450 -3.3864
04500 -3.40707
04550 -3.41464
04600 -3.44995
04650 -3.39344
04700 -3.3885
04750 -3.37196
04800 -3.34616
04850 -3.38482
04900 -3.40233
04950 -3.4052
05000 -3.35026
