iteration value
00000 -32.596
00050 -4.28598
00100 -4.17497
00150 -4.12734
00200 -4.00344
00250 -3.9813
00300 -3.88269
00350 -3.77279
00400 -3.75126
00450 -3.6064
00500 -3.65327
00550 -3.60903
00600 -3.57511
00650 -3.53375
00700 -3.55373
00750 -3.54534
00800 -3.58264
00850 -3.50647
00900 -3.54085
00950 -3.51993
01000 -3.51513
01050 -3.53085
01100 -3.5092
01150 -3.5195
01200 -3.52084
01250 -3.53998
01300 -3.52426
01350 -3.53711
01400 -3.46802
01450 -3.52316
01500 -3.51184
01550 -3.49509
01600 -3.49432
01650 -3.52677
01700 -3.51826
01750 -3.48284
01800 -3.53353
01850 -3.46062
01900 -3.43902
01950 -3.48097
02000 -3.47671
02050 -3.4575
02100 -3.48122
02150 -3.46485
02200 -3.45706
02250 -3.42394
02300 -3.49438
02350 -3.44244
02400 -3.43447
02450 -3.42355
02500 -3.42723
02550 -3.41824
02600 -3.42826
02650 -3.47326
02700 -3.41626
02750 -3.35494
02800 -3.40912
02850 -3.37277
02900 -3.36192
02950 -3.34563
03000 -3.37095
03050 -3.43409
03100 -3.35543
03150 -3.39011
03200 -3.32766
03250 -3.36522
03300 -3.33672
03350 -3.31443
03400 -3.25974
03450 -3.26992
03500 -3.29446
03550 -3.29101
03600 -3.34165
03650 -3.27752
03700 -3.24443
03750 -3.3398
03800 -3.26958
03850 -3.27088
03900 -3.33988
03950 -3.33365
04000 -3.30756
04050 -3.32425
04100 -3.27252
04150 -3.27139
04200 -3.29089
04250 -3.28567
04300 -3.29894
04350 -3.32596
04400 -3.30747
04450 -3.25974
04500 -3.32157
04550 -3.31173
04600 -3.28694
04650 -3.27908
04700 -3.32174
04750 -3.37715
04800 -3.32076
04850 -3.28447
04900 -3.28402
04950 -3.24435
05000 -3.31264
